Row,Product ID,Name,Retailer,Product URL,Image URL,Description,Price,Category,Gender,Has Image,Has Description,Description Length
24,cmu5c0cop006fksb0mlxmqscz,"Aromotherapy diffuser","Rituals",https://www.rituals.com/en-gb/the-perfume-genie-3.0---gold-1119948.html,,"Source: K",114.9,"Lifestyle & Wellbeing > Home & interiors",UNISEX,No,No,9
25,cmu5jl0ii00moksb07kpj8wt5,"Aromotherapy diffuser","Rituals",https://www.rituals.com/en-gb/the-perfume-genie-3.0---gold-1119948.html,,"Source: K",114.9,"Lifestyle & Wellbeing > Home & interiors",UNISEX,No,No,9
26,cmu5jms2600y2ksb0na5qde86,"ARTEMIS Large Tassel Velvet Cushion - Blush","houseofhackney.com",https://www.houseofhackney.com/products/artemis-large-tassel-velvet-cushion-blush,,"Source: K",245,"Home and interiors",UNISEX,No,No,9
27,cmu5c0kcy007sksb0r43d9m1l,"Astley Clarke Interstellar Solitaire 14ct Yellow-Gold And 0.165ct Lab-Grown Diamond Bracelet","Selfridges",https://www.selfridges.com/GB/en/product/astley-clarke-interstellar-solitaire-14ct-yellow-gold-and-0165ct-lab-grown-diamond-bracelet_R04300616,,"Source: K",495,"Home, Style & Objects > Jewellery",FEMALE,No,No,9
28,cmu5jl5xn00nsksb0b9qhlz2p,"Astley Clarke Interstellar Solitaire 14ct Yellow-Gold And 0.165ct Lab-Grown Diamond Bracelet","Selfridges",https://www.selfridges.com/GB/en/product/astley-clarke-interstellar-solitaire-14ct-yellow-gold-and-0165ct-lab-grown-diamond-bracelet_R04300616,,"Source: K",495,"Home, Style & Objects > Jewellery",FEMALE,No,No,9
29,cmu5c1kf000dqksb0bx9hvfil,"Bamboo Bath Tray","Eco Bath London",https://ecobathlondon.com/products/eco-bath-bamboo-bath-tray,,"Source: G",44,"Home, Style & Objects > Home & interiors",UNISEX,No,No,9
30,cmu5jlv3o00sgksb01pt99d1f,"Bamboo Bath Tray","Eco Bath London",https://ecobathlondon.com/products/eco-bath-bamboo-bath-tray,,"Source: G",44,"Home, Style & Objects > Home & interiors",UNISEX,No,No,9
31,cmu5c1fzw00d0ksb0g3uxl6cp,"Bang & Olufsun Beosound Home Speakers","Mr Porter",https://www.mrporter.com/en-gb/mens/product/bang-olufsen/lifestyle/speakers/beosound-2-3rd-gen-home-speaker/46376663163024347,,"Source: G",2850,"Tech, Games and Curiousity > Tech & gadgets",UNISEX,No,No,9
32,cmu5jls3v00ruksb0g4rse6po,"Bang & Olufsun Beosound Home Speakers","Mr Porter",https://www.mrporter.com/en-gb/mens/product/bang-olufsen/lifestyle/speakers/beosound-2-3rd-gen-home-speaker/46376663163024347,,"Source: G",2850,"Tech, Games and Curiousity > Tech & gadgets",UNISEX,No,No,9
33,cmu5jnq4b012dksb0s5j6zhrr,"BANWOOD BALANCE BIKE FIRST GO VINTAGE - PINK","Banwood",https://banwood.co.uk/products/balance-bike-pink?variant=49182227005708&country=GB&currency=GBP,,"Source: K",109,"Children",FEMALE,No,No,9
